CODPARC;NUMCONTRATO;DTCONTRATO;STATUSCONTRATO;CEP
16683;481982;2020-09-28 07:43:04.000;ATIVO;35620000
87355;552282;2023-03-28 11:09:05.000;ATIVO;35365000
122842;567475;2023-11-22 09:50:43.000;ATIVO;35438000
163761;511479;2021-10-25 12:31:04.000;ATIVO;35438000
73484;563009;2023-09-06 09:18:49.000;ATIVO;35200000
166341;515563;2021-12-09 15:13:21.000;ATIVO;45910000
225914;568517;2023-12-11 16:21:55.000;ATIVO;45910000
45175;570780;2024-02-09 12:55:05.000;EFETIVADO;72920000
137342;430491;2019-09-03 00:00:00.000;ATIVO;37135070
70642;503401;2021-07-06 11:13:37.000;ATIVO;39900000
73918;555666;2023-05-16 15:49:40.000;ATIVO;39900000
169157;519719;2022-02-23 09:50:09.000;ATIVO;39900000
169504;522388;2022-04-08 15:06:43.000;ATIVO;39900000
227116;569423;2024-01-02 16:49:33.000;ATIVO;35138000
115733;564844;2023-10-11 08:10:20.000;ATIVO;37940000
39226;416073;2018-09-14 00:00:00.000;ATIVO;35950000
55835;566667;2023-11-09 08:18:15.000;ATIVO;35950000
181160;536843;2022-03-23 00:00:00.000;ATIVO;94836000
181442;538155;2022-04-13 00:00:00.000;ATIVO;94855400
181443;537393;2022-06-23 00:00:00.000;ATIVO;94820490
181460;537376;2022-06-22 00:00:00.000;ATIVO;94858610
182195;535757;2020-02-28 00:00:00.000;ATIVO;94858520
182322;536015;2020-12-02 00:00:00.000;ATIVO;94859150
182386;534479;2017-02-25 00:00:00.000;ATIVO;94859270
182772;537529;2022-01-21 00:00:00.000;ATIVO;94828500
182808;534391;2017-04-29 00:00:00.000;ATIVO;94858610
183141;537468;2022-08-08 00:00:00.000;ATIVO;94859340
183164;537115;2022-08-29 00:00:00.000;ATIVO;94820180
183165;535729;2019-09-09 00:00:00.000;ATIVO;94820580
183207;537544;2022-09-13 00:00:00.000;ATIVO;94818320
184187;536537;2020-07-10 00:00:00.000;ATIVO;94838160
184401;536019;2020-12-02 00:00:00.000;ATIVO;94850000
184515;535100;2018-10-01 00:00:00.000;ATIVO;94810041
185132;538086;2021-01-29 00:00:00.000;ATIVO;94810590
186041;538519;2022-07-20 00:00:00.000;ATIVO;94855580
186203;536461;2020-01-04 00:00:00.000;ATIVO;94855220
186715;536501;2020-05-20 00:00:00.000;ATIVO;94852440
186788;536108;2020-06-04 00:00:00.000;ATIVO;94832128
186932;538385;2021-06-17 00:00:00.000;ATIVO;94853750
186973;536126;2020-07-25 00:00:00.000;ATIVO;94858656
187047;535803;2020-08-12 00:00:00.000;ATIVO;94858570
187063;535914;2020-08-15 00:00:00.000;ATIVO;94856060
187221;536576;2020-09-14 00:00:00.000;ATIVO;94810350
187687;535961;2020-11-30 00:00:00.000;ATIVO;94855390
188024;537768;2021-02-09 00:00:00.000;ATIVO;94853800
188149;537487;2021-02-27 00:00:00.000;ATIVO;94859440
188392;538139;2021-04-01 00:00:00.000;ATIVO;94850820
188442;537957;2022-08-04 00:00:00.000;ATIVO;94858450
189017;538061;2021-07-26 00:00:00.000;ATIVO;94858500
189110;537615;2021-08-11 00:00:00.000;ATIVO;94838630
189399;537403;2022-07-27 00:00:00.000;ATIVO;94859120
189652;538420;2022-01-06 00:00:00.000;ATIVO;94820380
189670;537485;2022-01-14 00:00:00.000;ATIVO;94820450
189881;538137;2022-03-24 00:00:00.000;ATIVO;94828390
190067;537249;2022-05-11 00:00:00.000;ATIVO;94828320
190101;537510;2022-09-05 00:00:00.000;ATIVO;94850030
190146;537359;2022-05-31 00:00:00.000;ATIVO;94859120
190178;537318;2022-06-07 00:00:00.000;ATIVO;94824010
190221;537852;2022-06-18 00:00:00.000;ATIVO;94830030
190397;537467;2022-08-08 00:00:00.000;ATIVO;94856200
190421;538141;2022-08-15 00:00:00.000;ATIVO;94853827
190473;537497;2022-08-26 00:00:00.000;ATIVO;94828460
191466;539027;2017-11-30 00:00:00.000;ATIVO;94824080
192537;539380;2020-03-13 00:00:00.000;ATIVO;94858670
192917;539493;2022-07-11 00:00:00.000;ATIVO;94828140
193002;539317;2020-11-05 00:00:00.000;ATIVO;94820410
193017;539820;2022-08-01 00:00:00.000;ATIVO;94814014
193112;539262;2020-12-01 00:00:00.000;ATIVO;94820210
193306;539722;2022-09-12 00:00:00.000;ATIVO;94858480
193570;539442;2021-05-24 00:00:00.000;ATIVO;94810280
193899;539477;2022-06-20 00:00:00.000;ATIVO;94850170
194056;539701;2022-01-17 00:00:00.000;ATIVO;94858390
194745;539598;2022-07-02 00:00:00.000;ATIVO;94828730
194768;539492;2022-07-11 00:00:00.000;ATIVO;94814240
194778;539505;2022-07-13 00:00:00.000;ATIVO;94859300
194855;539743;2022-08-17 00:00:00.000;ATIVO;94830030
194867;539749;2022-08-19 00:00:00.000;ATIVO;94832124
180438;534394;2017-11-02 00:00:00.000;ATIVO;94853270
180855;535023;2018-06-16 00:00:00.000;ATIVO;94855410
180902;534818;2018-11-02 00:00:00.000;ATIVO;94850010
181104;534378;2017-08-30 00:00:00.000;ATIVO;94858680
181226;534778;2018-10-08 00:00:00.000;ATIVO;94824010
181472;538497;2022-02-01 00:00:00.000;ATIVO;94820591
181731;535213;2018-05-12 00:00:00.000;ATIVO;94857550
181781;537081;2021-04-26 00:00:00.000;ATIVO;94838440
181801;534457;2017-10-25 00:00:00.000;ATIVO;94828220
181961;535431;2019-05-18 00:00:00.000;ATIVO;94855520
182069;537465;2022-07-25 00:00:00.000;ATIVO;94852480
182069;572593;2024-04-02 17:39:32.000;EFETIVADO;94852480
182370;534281;2017-06-24 00:00:00.000;ATIVO;94852480
182450;538516;2021-03-29 00:00:00.000;ATIVO;94857550
182484;534362;2017-04-19 00:00:00.000;ATIVO;94859410
182673;534144;2017-07-10 00:00:00.000;ATIVO;94858420
182699;534142;2017-07-13 00:00:00.000;ATIVO;94828390
182733;535867;2019-12-13 00:00:00.000;ATIVO;94828580
182739;545522;2022-12-12 15:02:24.000;ATIVO;94824310
182748;534154;2017-07-10 00:00:00.000;ATIVO;94828140
182789;534279;2017-03-14 00:00:00.000;ATIVO;94859000
182822;534147;2017-07-20 00:00:00.000;ATIVO;94834415
182920;535935;2020-12-01 00:00:00.000;ATIVO;94838370
182935;534169;2017-06-16 00:00:00.000;ATIVO;94852490
